,,,,,,,,,,,,,,,
,,,,全社LAN申請_別紙,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,SRC,,,,,DST,,,Service,,,
,No,ロケーション/担当,種別,セグメント,IPアドレス,説明,ロケーション/担当,種別,セグメント,IPアドレス,説明,プロトコル,ポート番号,説明,Action
,1,横浜DC/ICTインフラ2T,イントラ,MITAC_SSO(横浜DC),10.52.31.9,バックアップサーバ,横浜DC/ICTインフラ2T,DMZ,DMZ(横浜DC),"192.168.101.102
192.168.101.103","XMLGateway#1,#2",TCP,22,SSH,Permit
,,,,,,,,,,,,TCP,"41523
41524
135
139
445
6051",ArcserveAgent,Permit
,,,,,,,,,,,,UDP,6051,,
,,,,,,,,,,,,TCP,8080,XML Gateway 管理用,Permit
,2,横浜DC/ICTインフラ2T,イントラ,MITAC_SSO(横浜DC),10.52.31.14,ShieldwareV4 サーバ,横浜DC/ICTインフラ2T,DMZ,DMZ(横浜DC),"192.168.101.102
192.168.101.103
","XMLGateway#1,#2",TCP,"11102
11107",Shieldware,Permit
,3,横浜DC/ICTインフラ2T,DMZ,DMZ(横浜DC),"192.168.101.102
192.168.101.103","XMLGateway#1,#2",横浜DC/ICTインフラ2T,イントラ,MITAC_SSO(横浜DC),"10.52.31.10
10.52.31.11
10.52.31.12",CS　ActiveDirectory,UDP,123,NTP,Permit
,,,,,,,,,,,,UDP,53,DNS,Permit
,4,横浜DC/ICTインフラ2T,DMZ,DMZ(横浜DC),"192.168.101.102
192.168.101.103","XMLGateway#1,#2",横浜DC/ICTインフラ2T,イントラ,MITAC_SSO(横浜DC),10.52.31.9,バックアップサーバ,UDP,514,SYSLOG,Permit
,,,,,,,,,,,,UDP,161,SNMP,Permit
,5,横浜DC/ICTインフラ2T,DMZ,DMZ(横浜DC),"192.168.101.102
192.168.101.103","XMLGateway#1,#2",横浜DC/ICTインフラ2T,イントラ,MITAC_SSO(横浜DC),10.52.31.14,ShieldwareV4 サーバ,TCP,11102,Shieldware,Permit
,6,横浜DC/ICTインフラ2T,DMZ,DMZ(横浜DC),"192.168.101.102
192.168.101.103
192.168.101.101
","XMLGateway#1,#2",CTI/名航NW,イントラ,TIDS(名航CTI),172.18.158.146,CS-tids,TCP,8080,XML Gateway ,Permit
,7,横浜DC/ICTインフラ2T,DMZ,DMZ(横浜DC),"192.168.101.102
192.168.101.103
192.168.101.101
","XMLGateway#1,#2",CTI/名航NW,イントラ,TIDS(名航CTI),172.18.158.148,CS-tidstest,TCP,8080,XML Gateway ,Permit
,8,横浜DC/ICTインフラ2T,DMZ,DMZ(横浜DC),"192.168.101.102
192.168.101.103
192.168.101.101
","XMLGateway#1,#2",横浜DC/ICTインフラ2T & CS-ERPT,イントラ,CSERP(横浜DC),"10.14.221.218
10.14.220.30
10.14.221.178",CS-ERP SAPサーバー,TCP,"8080
50000
50100",XML Gateway ,Permit
,9,横浜DC/ICTインフラ2T & CS-ERPT,イントラ,CSERP(横浜DC),"10.14.221.218
10.14.220.30
10.14.221.178
10.14.221.215
10.14.221.216
10.14.220.25
10.14.220.26",CS-ERP SAPサーバー,横浜DC/ICTインフラ2T,DMZ,DMZ(横浜DC),"192.168.101.102
192.168.101.103
192.168.101.101
","XMLGateway#1,#2",TCP,"443
80",XML Gateway ,Permit
,10,横浜DC/ICTインフラ2T,イントラ,横浜DC,10.52.142.89,Deep Security サーバ,横浜DC/ICTインフラ2T,DMZ,DMZ(横浜DC),"
192.168.101.102
192.168.101.103
","XMLGateway#1,#2",TCP,"80
443
4118-4120
4122",Deep Security,Permit
,11,横浜DC/ICTインフラ2T,DMZ,DMZ(横浜DC),"
192.168.101.102
192.168.101.103
","XMLGateway#1,#2",横浜DC/ICTインフラ2T,イントラ,横浜DC,10.52.142.89,Deep Security サーバ,TCP,"80
443
4118-4120
4122",Deep Security,Permit
,12,MITAC/名航NW担当&MRJインフラT,イントラ,空港ビル(MITAC),"10.14.232.0/21
10.14.240.0/23
10.14.242.0/24
10.14.244.0/24
10.14.247.0/24
",OA PC,横浜DC/ICTインフラ2T,DMZ,DMZ(横浜DC),"
192.168.101.102
192.168.101.103
192.168.101.101
192.168.101.65","XMLGateway#1,#2",TCP,"80
443","HTTP
HTTPS",Permit
